clade,plate,well,type,count,sym,swim,day
D,p1,1,slt,3,s,l,8_23
D,p1,1,sl,4,s,l,8_23
D,p1,1,al,3,a,l,8_23
D,p1,2,ss,1,s,s,8_23
D,p1,2,slt,4,s,l,8_23
D,p1,2,sl,4,s,l,8_23
D,p1,2,al,3,a,l,8_23
D,p1,2,sst,1,s,s,8_23
D,p1,3,ss,3,s,s,8_23
D,p1,3,sl,6,s,l,8_23
D,p1,3,al,3,a,l,8_23
D,p1,3,slt,1,s,l,8_23
D,p1,4,slt,2,s,l,8_23
D,p2,1,ss,1,s,s,8_23
D,p2,1,slt,1,s,l,8_23
D,p2,1,sl,1,s,l,8_23
D,p2,2,ss,2,s,s,8_23
D,p2,2,slt,2,s,l,8_23
D,p2,4,sl,1,s,l,8_23
D,p2,5,slt,2,s,l,8_23
D,p2,5,sl,1,s,l,8_23
D,p2,5,sst,1,s,s,8_23
D,p2,5,ss,1,s,s,8_23
D,p2,6,ss,1,s,s,8_23
D,p2,6,sl,1,s,l,8_23
D,p2,6,slt,1,s,l,8_23
D,p3,1,ss,4,s,s,8_23
D,p3,1,sl,2,s,l,8_23
D,p3,1,slt,2,s,l,8_23
D,p3,2,sst,5,s,s,8_23
D,p3,2,sl,4,s,l,8_23
D,p3,2,slt,3,s,l,8_23
D,p3,2,ss,3,s,s,8_23
D,p3,3,ss,3,s,s,8_23
D,p3,3,sst,4,s,s,8_23
D,p3,3,al,1,a,l,8_23
D,p3,3,sl,2,s,l,8_23
D,p3,3,slt,2,s,l,8_23
D,p3,4,ss,4,s,s,8_23
D,p3,4,sst,4,s,s,8_23
D,p3,4,slt,2,s,l,8_23
D,p3,4,sl,8,s,l,8_23
D,p3,4,al,1,a,l,8_23
D,p3,5,ss,1,s,s,8_23
D,p3,5,sst,2,s,s,8_23
D,p3,5,slt,6,s,l,8_23
D,p3,5,sl,1,s,l,8_23
D,p3,5,al,2,a,l,8_23
D,p3,6,sl,5,s,l,8_23
D,p3,6,slt,6,s,l,8_23
D,p3,6,sst,4,s,s,8_23
D,p4,1,slt,9,s,l,8_23
D,p4,1,ss,1,s,s,8_23
D,p4,1,sl,6,s,l,8_23
D,p4,1,sst,1,s,s,8_23
D,p4,1,al,4,a,l,8_23
D,p4,2,sl,5,s,l,8_23
D,p4,2,slt,9,s,l,8_23
D,p4,2,al,2,a,l,8_23
D,p4,2,sst,1,s,s,8_23
D,p4,2,ss,1,s,s,8_23
D,p4,3,ss,3,s,s,8_23
D,p4,3,sl,2,s,l,8_23
D,p4,3,sst,1,s,s,8_23
D,p4,3,slt,5,s,l,8_23
D,p4,4,slt,4,s,l,8_23
D,p4,4,sl,2,s,l,8_23
D,p4,4,al,2,a,l,8_23
D,p4,5,sst,3,s,s,8_23
D,p4,5,ss,1,s,s,8_23
D,p4,5,sl,4,s,l,8_23
D,p4,5,al,1,a,l,8_23
D,p4,5,slt,4,s,l,8_23
D,p4,6,sst,2,s,s,8_23
D,p4,6,ss,2,s,s,8_23
D,p4,6,sl,5,s,l,8_23
D,p4,6,slt,3,s,l,8_23
D,p4,6,al,5,a,l,8_23
D,p5,1,slt,2,s,l,8_23
D,p5,1,sl,4,s,l,8_23
D,p5,1,ss,2,s,s,8_23
D,p5,2,sst,2,s,s,8_23
D,p5,2,ss,3,s,s,8_23
D,p5,2,slt,2,s,l,8_23
D,p5,2,sl,4,s,l,8_23
D,p5,2,al,3,a,l,8_23
D,p5,3,ss,2,s,s,8_23
D,p5,3,slt,2,s,l,8_23
D,p5,3,sl,1,s,l,8_23
D,p5,3,sst,3,s,s,8_23
D,p5,4,ss,4,s,s,8_23
D,p5,4,slt,3,s,l,8_23
D,p5,4,sl,4,s,l,8_23
D,p5,4,al,5,a,l,8_23
D,p5,4,sst,1,s,s,8_23
D,p5,5,ss,1,s,s,8_23
D,p5,5,slt,8,s,l,8_23
D,p5,5,sst,2,s,s,8_23
D,p5,5,al,2,a,l,8_23
D,p5,6,sst,2,s,s,8_23
D,p5,6,ss,3,s,s,8_23
D,p5,6,slt,10,s,l,8_23
D,p5,6,sl,15,s,l,8_23
D,p5,6,al,4,a,l,8_23
D,p6,1,sst,2,s,s,8_23
D,p6,1,sl,1,s,l,8_23
D,p6,2,al,1,a,l,8_23
D,p6,2,sst,2,s,s,8_23
D,p6,2,ss,1,s,s,8_23
D,p6,3,al,2,a,l,8_23
D,p6,4,ss,2,s,s,8_23
D,p6,4,slt,1,s,l,8_23
D,p6,5,ss,3,s,s,8_23
D,p6,5,sst,1,s,s,8_23
D,p7,1,sl,1,s,l,8_23
D,p7,1,ss,1,s,s,8_23
D,p7,2,ss,1,s,s,8_23
D,p7,2,sl,1,s,l,8_23
D,p7,3,ss,2,s,s,8_23
D,p7,3,al,1,a,l,8_23
B,p1,1,sl,1,s,l,8_23
B,p1,2,slt,2,s,l,8_23
B,p1,2,sl,2,s,l,8_23
B,p1,2,ss,2,s,s,8_23
B,p1,3,slt,2,s,l,8_23
B,p1,3,ss,1,s,s,8_23
B,p1,3,sl,3,s,l,8_23
B,p1,4,slt,2,s,l,8_23
B,p1,4,sst,1,s,s,8_23
B,p1,4,sl,5,s,l,8_23
B,p1,4,al,2,a,l,8_23
B,p1,5,slt,1,s,l,8_23
B,p1,5,ss,1,s,s,8_23
B,p1,6,ss,1,s,s,8_23
B,p1,6,al,1,a,l,8_23
B,p1,6,sl,2,s,l,8_23
B,p2,1,ss,1,s,s,8_23
B,p2,1,sst,2,s,s,8_23
B,p2,1,slt,2,s,l,8_23
B,p2,2,ss,6,s,s,8_23
B,p2,2,slt,3,s,l,8_23
B,p2,2,sl,3,s,l,8_23
B,p2,2,al,1,a,l,8_23
B,p2,4,ss,5,s,s,8_23
B,p2,4,sl,2,s,l,8_23
B,p2,4,slt,1,s,l,8_23
B,p2,4,al,1,a,l,8_23
B,p2,3,ss,1,s,s,8_23
B,p2,3,slt,1,s,l,8_23
B,p2,3,sl,2,s,l,8_23
B,p2,5,slt,1,s,l,8_23
B,p2,6,slt,2,s,l,8_23
B,p2,6,ss,2,s,s,8_23
B,p3,6,ss,4,s,s,8_23
B,p3,6,slt,2,s,l,8_23
B,p3,6,sl,3,s,l,8_23
B,p3,6,al,1,a,l,8_23
B,p3,5,slt,3,s,l,8_23
B,p3,5,ss,4,s,s,8_23
B,p3,5,sl,2,s,l,8_23
B,p3,5,al,2,a,l,8_23
B,p3,4,ss,6,s,s,8_23
B,p3,4,slt,1,s,l,8_23
B,p3,4,al,3,a,l,8_23
B,p3,4,sl,1,s,l,8_23
B,p3,3,sst,2,s,s,8_23
B,p3,3,ss,6,s,s,8_23
B,p3,3,slt,7,s,l,8_23
B,p3,3,sl,1,s,l,8_23
B,p3,2,ss,4,s,s,8_23
B,p3,2,sl,2,s,l,8_23
B,p3,2,al,1,a,l,8_23
B,p3,2,sst,1,s,s,8_23
B,p3,1,sst,2,s,s,8_23
B,p3,1,ss,2,s,s,8_23
B,p3,1,sl,5,s,l,8_23
B,p4,1,sl,14,s,l,8_23
B,p4,1,ss,3,s,s,8_23
B,p4,1,slt,7,s,l,8_23
B,p4,1,al,2,a,l,8_23
B,p4,2,ss,2,s,s,8_23
B,p4,2,slt,10,s,l,8_23
B,p4,2,sl,4,s,l,8_23
B,p4,2,al,3,a,l,8_23
B,p4,3,ss,6,s,s,8_23
B,p4,3,slt,11,s,l,8_23
B,p4,3,sst,1,s,s,8_23
B,p4,3,al,3,a,l,8_23
B,p4,3,sl,2,s,l,8_23
B,p4,4,ss,4,s,s,8_23
B,p4,4,slt,8,s,l,8_23
B,p4,4,sl,15,s,l,8_23
B,p4,4,al,1,a,l,8_23
B,p4,5,ss,3,s,s,8_23
B,p4,5,slt,8,s,l,8_23
B,p4,5,al,2,a,l,8_23
B,p4,5,sl,6,s,l,8_23
B,p4,6,ss,4,s,s,8_23
B,p4,6,slt,5,s,l,8_23
B,p4,6,sl,8,s,l,8_23
B,p4,6,al,9,a,l,8_23
B,p5,1,ss,7,s,s,8_23
B,p5,1,sl,8,s,l,8_23
B,p5,1,slt,6,s,l,8_23
B,p5,1,al,4,a,l,8_23
B,p5,2,ss,2,s,s,8_23
B,p5,2,sst,1,s,s,8_23
B,p5,2,slt,2,s,l,8_23
B,p5,2,al,2,a,l,8_23
B,p5,2,sl,5,s,l,8_23
B,p5,3,ss,3,s,s,8_23
B,p5,3,slt,1,s,l,8_23
B,p5,3,al,3,a,l,8_23
B,p5,3,sl,2,s,l,8_23
B,p5,3,sst,1,s,s,8_23
B,p5,4,ss,2,s,s,8_23
B,p5,4,sst,1,s,s,8_23
B,p5,4,st,1,s,t,8_23
B,p5,5,ss,7,s,s,8_23
B,p5,5,sst,2,s,s,8_23
B,p5,5,slt,5,s,l,8_23
B,p5,5,sl,2,s,l,8_23
B,p5,5,al,1,a,l,8_23
B,p5,6,ss,9,s,s,8_23
B,p5,6,sst,2,s,s,8_23
B,p5,6,slt,3,s,l,8_23
B,p6,1,slt,1,s,l,8_23
B,p6,1,ss,1,s,s,8_23
B,p6,1,al,1,a,l,8_23
B,p6,2,ss,2,s,s,8_23
B,p6,2,sl,5,s,l,8_23
B,p6,2,slt,1,s,l,8_23
B,p6,3,sst,1,s,s,8_23
B,p6,4,ss,1,s,s,8_23
B,p6,5,ss,2,s,s,8_23
B,p6,5,sl,4,s,l,8_23
B,p6,5,al,2,a,l,8_23
B,p6,5,slt,1,s,l,8_23
B,p6,6,ss,3,s,s,8_23
B,p7,1,sl,3,s,l,8_23
B,p7,2,sl,1,s,l,8_23
B,p7,2,al,1,a,l,8_23
B,p7,2,ss,1,s,s,8_23
B,p7,3,al,2,a,l,8_23
B,p7,3,sl,1,s,l,8_23
B,p7,3,ss,2,s,s,8_23
B,p7,4,ss,2,s,s,8_23
B,p7,6,ss,1,s,s,8_23
B,p7,6,sl,2,s,l,8_23
B,p7,6,al,1,a,l,8_23
NoSym,p1,1,as,1,a,s,8_31
NoSym,p1,2,as,2,a,s,8_31
NoSym,p1,3,as,1,a,s,8_31
NoSym,p1,4,as,4,a,s,8_31
NoSym,p1,5,alt,2,a,l,8_31
NoSym,p1,5,al,1,a,l,8_31
NoSym,p1,5,ast,1,a,s,8_31
NoSym,p1,6,ast,2,a,s,8_31
NoSym,p1,6,as,3,a,s,8_31
NoSym,p1,6,al,1,a,l,8_31
NoSym,p2,1,ast,1,a,s,8_31
NoSym,p2,1,as,2,a,s,8_31
NoSym,p2,1,alt,1,a,l,8_31
NoSym,p2,2,as,4,a,s,8_31
NoSym,p2,3,as,2,a,s,8_31
NoSym,p2,6,as,2,a,s,8_31
NoSym,p3,1,as,6,a,s,8_31
NoSym,p3,1,al,2,a,l,8_31
NoSym,p3,1,alt,1,a,l,8_31
NoSym,p3,1,as,3,a,s,8_31
NoSym,p3,2,as,3,a,s,8_31
NoSym,p3,3,al,1,a,l,8_31
NoSym,p3,3,as,3,a,s,8_31
NoSym,p3,3,ast,2,a,s,8_31
NoSym,p3,4,as,3,a,s,8_31
NoSym,p3,5,ast,1,a,s,8_31
NoSym,p3,5,as,3,a,s,8_31
NoSym,p3,5,al,1,a,l,8_31
NoSym,p3,6,ast,4,a,s,8_31
NoSym,p3,6,as,1,a,s,8_31
NoSym,p3,6,alt,4,a,l,8_31
NoSym,p3,6,al,3,a,l,8_31
NoSym,p4,1,as,2,a,s,8_31
NoSym,p4,1,al,1,a,l,8_31
NoSym,p4,2,as,1,a,s,8_31
NoSym,p4,2,al,2,a,l,8_31
NoSym,p4,3,as,2,a,s,8_31
NoSym,p4,3,alt,2,a,l,8_31
NoSym,p4,4,as,4,a,s,8_31
NoSym,p4,4,ast,4,a,s,8_31
NoSym,p4,4,alt,7,a,l,8_31
NoSym,p4,4,al,2,a,l,8_31
NoSym,p4,5,as,5,a,s,8_31
NoSym,p4,5,alt,14,a,l,8_31
NoSym,p4,6,alt,2,a,l,8_31
NoSym,p4,6,as,1,a,s,8_31
NoSym,p5,1,as,4,a,s,8_31
NoSym,p5,2,as,5,a,s,8_31
NoSym,p5,2,alt,4,a,l,8_31
NoSym,p5,3,alt,1,a,l,8_31
NoSym,p5,3,as,2,a,s,8_31
NoSym,p5,4,al,1,a,l,8_31
NoSym,p5,4,alt,3,a,l,8_31
NoSym,p5,4,as,1,a,s,8_31
NoSym,p5,5,as,7,a,s,8_31
NoSym,p5,5,ast,1,a,s,8_31
NoSym,p5,6,as,3,a,s,8_31
NoSym,p5,6,alt,1,a,l,8_31
NoSym,p6,2,al,1,a,l,8_31
NoSym,p6,3,as,1,a,s,8_31
NoSym,p6,4,as,6,a,s,8_31
NoSym,p6,5,as,2,a,s,8_31
B,p1,1,ss,1,s,s,8_31
B,p1,2,sst,1,s,s,8_31
B,p1,2,ss,2,s,s,8_31
B,p1,3,sst,1,s,s,8_31
B,p1,3,ss,2,s,s,8_31
B,p1,3,slt,1,s,l,8_31
B,p1,4,ss,1,s,s,8_31
B,p1,4,al,1,a,l,8_31
B,p1,4,slt,2,s,l,8_31
B,p1,6,alt,1,a,l,8_31
B,p2,1,sst,3,s,s,8_31
B,p2,2,as,2,a,s,8_31
B,p2,2,ss,2,s,s,8_31
B,p2,2,sl,1,s,l,8_31
B,p2,3,ss,1,s,s,8_31
B,p2,3,sl,1,s,l,8_31
B,p2,3,al,1,a,l,8_31
B,p2,4,ss,4,s,s,8_31
B,p2,4,sst,1,s,s,8_31
B,p2,6,ss,1,s,s,8_31
B,p2,6,slt,1,s,l,8_31
B,p3,1,sl,1,s,l,8_31
B,p3,1,slt,2,s,l,8_31
B,p3,1,al,2,a,l,8_31
B,p3,1,ss,2,s,s,8_31
B,p3,2,sst,3,s,s,8_31
B,p3,2,ss,1,s,s,8_31
B,p3,2,sl,1,s,l,8_31
B,p3,3,slt,6,s,l,8_31
B,p3,3,ss,6,s,s,8_31
B,p3,3,al,1,a,l,8_31
B,p3,3,sst,3,s,s,8_31
B,p3,4,ss,6,s,s,8_31
B,p3,4,sst,1,s,s,8_31
B,p3,4,al,1,a,l,8_31
B,p3,4,sl,1,s,l,8_31
B,p3,5,sst,2,s,s,8_31
B,p3,5,slt,2,s,l,8_31
B,p3,5,ss,2,s,s,8_31
B,p3,6,ss,6,s,s,8_31
B,p3,6,as,1,a,s,8_31
B,p3,6,al,1,a,l,8_31
B,p3,6,slt,1,s,l,8_31
B,p4,1,ss,3,s,s,8_31
B,p4,1,al,1,a,l,8_31
B,p4,1,st,5,s,t,8_31
B,p4,1,sl,3,s,l,8_31
B,p4,2,ss,3,s,s,8_31
B,p4,2,sl,2,s,l,8_31
B,p4,2,slt,7,s,l,8_31
B,p4,3,ss,6,s,s,8_31
B,p4,3,as,1,a,s,8_31
B,p4,3,slt,7,s,l,8_31
B,p4,4,ss,3,s,s,8_31
B,p4,4,sl,1,s,l,8_31
B,p4,4,slt,4,s,l,8_31
B,p4,5,sst,1,s,s,8_31
B,p4,5,ss,3,s,s,8_31
B,p4,5,sl,1,s,l,8_31
B,p4,6,ss,3,s,s,8_31
B,p4,6,sl,1,s,l,8_31
B,p4,6,al,4,a,l,8_31
B,p4,6,slt,5,s,l,8_31
B,p5,3,ss,3,s,s,8_31
B,p5,4,ss,2,s,s,8_31
B,p5,4,sl,1,s,l,8_31
B,p5,5,sst,4,s,s,8_31
B,p5,5,ss,7,s,s,8_31
B,p5,5,slt,5,s,l,8_31
B,p5,6,ss,4,s,s,8_31
B,p5,6,slt,5,s,l,8_31
B,p5,6,sst,4,s,s,8_31
B,p6,1,ss,1,s,s,8_31
B,p6,1,slt,1,s,l,8_31
B,p6,2,slt,1,s,l,8_31
B,p6,2,ss,2,s,s,8_31
B,p6,2,al,1,a,l,8_31
B,p6,4,slt,1,s,l,8_31
B,p6,5,ss,2,s,s,8_31
B,p6,6,sst,2,s,s,8_31
B,p6,6,ss,1,s,s,8_31
B,p7,1,al,1,a,l,8_31
B,p7,2,sl,1,s,l,8_31
B,p7,2,ss,1,s,s,8_31
B,p7,3,ss,2,s,s,8_31
B,p7,4,as,1,a,s,8_31
D,p1,1,slt,3,s,l,8_31
D,p1,1,sl,1,s,l,8_31
D,p1,1,al,1,a,l,8_31
D,p1,2,slt,3,s,l,8_31
D,p1,3,ss,2,s,s,8_31
D,p1,3,slt,1,s,l,8_31
D,p1,4,slt,2,s,l,8_31
D,p1,5,slt,1,s,l,8_31
D,p2,1,ss,1,s,s,8_31
D,p2,2,slt,1,s,l,8_31
D,p2,2,ss,1,s,s,8_31
D,p2,4,slt,1,s,l,8_31
D,p2,4,ss,1,s,s,8_31
D,p2,5,slt,1,s,l,8_31
D,p2,6,ss,1,s,s,8_31
D,p3,1,ss,4,s,s,8_31
D,p3,2,ss,6,s,s,8_31
D,p3,3,ss,6,s,s,8_31
D,p3,3,sl,1,s,l,8_31
D,p3,4,ss,6,s,s,8_31
D,p3,5,ss,2,s,s,8_31
D,p3,5,slt,7,s,l,8_31
D,p3,5,sst,2,s,s,8_31
D,p3,6,ss,1,s,s,8_31
D,p3,6,slt,3,s,l,8_31
D,p3,6,al,3,a,l,8_31
D,p4,1,ss,3,s,s,8_31
D,p4,1,slt,3,s,l,8_31
D,p4,2,slt,4,s,l,8_31
D,p4,2,al,2,a,l,8_31
D,p4,2,ss,3,s,s,8_31
D,p4,2,sst,2,s,s,8_31
D,p4,3,sl,2,s,l,8_31
D,p4,3,slt,3,s,l,8_31
D,p4,3,ss,1,s,s,8_31
D,p4,3,sst,2,s,s,8_31
D,p4,4,sst,1,s,s,8_31
D,p4,4,slt,3,s,l,8_31
D,p4,5,sst,1,s,s,8_31
D,p4,5,slt,4,s,l,8_31
D,p4,5,al,1,a,l,8_31
D,p4,6,sst,4,s,s,8_31
D,p4,6,ss,1,s,s,8_31
D,p4,6,al,2,a,l,8_31
D,p4,6,alt,4,a,l,8_31
D,p5,1,ss,2,s,s,8_31
D,p5,1,sl,1,s,l,8_31
D,p5,1,slt,3,s,l,8_31
D,p5,2,sst,4,s,s,8_31
D,p5,2,slt,1,s,l,8_31
D,p5,3,sst,5,s,s,8_31
D,p5,3,ss,1,s,s,8_31
D,p5,4,sst,4,s,s,8_31
D,p5,4,slt,2,s,l,8_31
D,p5,4,ss,1,s,s,8_31
D,p5,5,ss,2,s,s,8_31
D,p5,5,sst,6,s,s,8_31
D,p5,5,slt,7,s,l,8_31
D,p5,6,sst,4,s,s,8_31
D,p5,6,slt,8,s,l,8_31
D,p5,6,ss,3,s,s,8_31
D,p5,6,sl,4,s,l,8_31
D,p6,1,ss,1,s,s,8_31
D,p6,1,slt,1,s,l,8_31
D,p6,2,ss,2,s,s,8_31
D,p6,4,ss,2,s,s,8_31
D,p6,4,al,1,a,l,8_31
D,p6,4,slt,1,s,l,8_31
D,p6,5,ss,3,s,s,8_31
D,p6,5,sst,1,s,s,8_31
D,p6,6,al,1,a,l,8_31